speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,4,no it's just off Google,6,19_29,google,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,8,well I have to swap over to Windows but I'll,11,19_29,well swap windows,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,12,it's the Mac operating system,6,19_29,mac operating system,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,17,"alright <pause dur=""short"" /> never did that <unclear>read that</unclear> then <pause dur=""short"" /> eight pages in <vocal desc=""laugh"" />",8,19_29,alright pause dur short never unclear read unclear pause dur short eight pages vocal desc laugh,19-29,16
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,21,so the thing when you're travelling and doing so many things you do tend to not read very much,20,19_29,thing travelling many things tend read much,19-29,7
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,32,got it off Google,4,19_29,got google,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,33,ah dude your desktop is horrible,6,19_29,ah dude desktop horrible,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,38,"suppose <pause dur=""short"" /> money <pause dur=""short"" /> money money money",5,19_29,suppose pause dur short money pause dur short money money money,19-29,11
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,45,you being unorganised?,4,19_29,unorganised,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,47,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,54,mm,1,19_29,mm,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,58,this is a Mac one or,6,19_29,mac one,19-29,2
